Source,Target,Weight,Sqrt_Weight
Australia,Austria,0.0,0.0
Australia,Belgium,0.00031485939560572235,0.01774427782711154
Australia,Bermuda,0.0,0.0
Australia,Brazil,0.0002909851753208842,0.017058287584657616
Australia,British Virgin Islands,0.0,0.0
Australia,Canada,0.0,0.0
Australia,Cayman Islands,0.0,0.0
Australia,Chile,5.366989126879983e-05,0.007325973742022273
Australia,China,0.0002087051035526395,0.014446629487622346
Australia,Cyprus,0.0,0.0
Australia,Czechia,0.0,0.0
Australia,Denmark,0.0,0.0
Australia,Finland,0.0,0.0
Australia,France,0.0008411166340462243,0.02900201086211479
Australia,Germany,0.0022972066158450394,0.04792918334214594
Australia,Gibraltar,0.0,0.0
Australia,"Hong Kong, China",0.0019153124049307343,0.043764282296534174
Australia,Hungary,1.810192802186971e-06,0.0013454340571677867
Australia,India,0.0,0.0
Australia,Ireland,0.0,0.0
Australia,Italy,3.3773707914383434e-05,0.005811515113495227
Australia,Japan,0.0034592865697094972,0.05881570002736937
Australia,Luxembourg,0.0,0.0
Australia,Malaysia,0.0015487252788139976,0.039353847064982066
Australia,Mexico,0.00014927307121025534,0.012217735928160148
Australia,Netherlands,0.0009793890968575864,0.03129519287139139
Australia,Norway,0.0001544686376560989,0.012428541252138117
Australia,Poland,5.350295820386626e-05,0.0073145716350218526
Australia,Republic of Korea,6.020822298416635e-05,0.007759395787312718
Australia,Russian Federation,0.0,0.0
Australia,Saudi Arabia,1.238535952356919e-05,0.003519283950403717
Australia,Singapore,0.004944787241243935,0.07031918117586364
Australia,Spain,0.0,0.0
Australia,Sweden,0.00016532585819422726,0.012857910335440486
Australia,Switzerland,0.0003878988792258586,0.019695148621573247
Australia,Taiwan Province of China,7.77300158068415e-05,0.008816462771817362
Australia,Türkiye,1.533425464822852e-05,0.0039158976810213676
Australia,United Kingdom,0.0004401758727971677,0.020980368747883525
Australia,United States,0.010844296630855496,0.10413595263335088
Austria,Austria,0.00027203010437732355,0.01649333515021518
Austria,Belgium,0.0010170858501941473,0.0318917834276189
Austria,Bermuda,0.0,0.0
Austria,Brazil,6.810060685309264e-05,0.008252309183076737
Austria,British Virgin Islands,0.0,0.0
Austria,Canada,0.0,0.0
Austria,Cayman Islands,0.0,0.0
Austria,Chile,1.7693370747955987e-06,0.0013301643036841722
Austria,China,5.663451483506564e-05,0.007525590663533703
Austria,Cyprus,0.0004064145903617058,0.02015972694164546
Austria,Czechia,0.0006482753672145874,0.02546125227113913
Austria,Denmark,0.0,0.0
Austria,Finland,0.00020235407316207893,0.014225121200259734
Austria,France,0.0004423516237352323,0.021032156896886072
Austria,Germany,0.0022294384610387036,0.047216929813772346
Austria,Gibraltar,0.0,0.0
Austria,"Hong Kong, China",0.00015256287752912212,0.01235163460960217
Austria,Hungary,0.0018207842726372056,0.04267064884246788
Austria,India,7.10345673151468e-05,0.008428200716353806
Austria,Ireland,0.0,0.0
Austria,Italy,0.008572524232581216,0.09258792703469074
Austria,Japan,0.0,0.0
Austria,Luxembourg,0.0020123770035984203,0.04485952522707324
Austria,Malaysia,3.0128571907143147e-06,0.001735758390650702
Austria,Mexico,4.789005682446754e-05,0.006920264216376968
Austria,Netherlands,0.002513735750864758,0.05013716935432991
Austria,Norway,0.0,0.0
Austria,Poland,0.0007352968538948371,0.02711635768120116
Austria,Republic of Korea,0.0,0.0
Austria,Russian Federation,0.001289917066817133,0.03591541544820459
Austria,Saudi Arabia,2.9488951246593312e-06,0.0017172347319627946
Austria,Singapore,0.0,0.0
Austria,Spain,0.0,0.0
Austria,Sweden,0.00010425760165505533,0.010210661176194975
Austria,Switzerland,0.006402338080989342,0.08001461167180243
Austria,Taiwan Province of China,0.0,0.0
Austria,Türkiye,0.00023678409204579476,0.015387790356181577
Austria,United Kingdom,0.0023134773669719715,0.04809862125853476
Austria,United States,0.0030222596419266345,0.054975082009276116
Belgium,Bermuda,0.0,0.0
Belgium,Brazil,5.41975470031997e-05,0.007361898328773612
Belgium,British Virgin Islands,0.0,0.0
Belgium,Canada,0.0,0.0
Belgium,Cayman Islands,0.0,0.0
Belgium,Chile,0.0,0.0
Belgium,China,8.800565044595558e-05,0.00938113268459388
Belgium,Cyprus,5.166150350192494e-07,0.0007187593721262001
Belgium,Czechia,0.00015926361553236326,0.012619968919627467
Belgium,Denmark,0.0002600197769598763,0.01612512874242796
Belgium,Finland,0.00386891223861733,0.06220058069357014
Belgium,France,0.013948605945519735,0.11810421645953093
Belgium,Germany,0.0008992330453303811,0.029987214697773802
Belgium,Gibraltar,0.0,0.0
Belgium,"Hong Kong, China",0.0,0.0
Belgium,Hungary,0.0016521534064010508,0.04064668998087115
Belgium,India,0.0,0.0
Belgium,Ireland,0.0,0.0
Belgium,Italy,0.0027892376697196083,0.052813233850235
Belgium,Japan,8.825185090163219e-05,0.009394245627065123
Belgium,Luxembourg,0.0,0.0
Belgium,Malaysia,8.429103954021776e-06,0.0029032919167768464
Belgium,Mexico,0.0003996342672938326,0.019990854591383344
Belgium,Netherlands,0.03393958977328415,0.18422700609108358
Belgium,Norway,0.001947800124221014,0.04413388861431784
Belgium,Poland,0.0002740135573483553,0.01655335486686476
Belgium,Republic of Korea,0.0,0.0
Belgium,Russian Federation,4.750631120410537e-05,0.006892482223706157
Belgium,Saudi Arabia,2.9488951246593312e-06,0.0017172347319627946
Belgium,Singapore,0.0,0.0
Belgium,Spain,0.002579039120135159,0.05078424086402355
Belgium,Sweden,0.0013721285277048907,0.03704225327521114
Belgium,Switzerland,0.004822333029583063,0.0694430200206116
Belgium,Taiwan Province of China,0.0,0.0
Belgium,Türkiye,0.0002111408909256081,0.014530687902697797
Belgium,United Kingdom,0.002056328738605004,0.04534676105969426
Belgium,United States,0.01208938813042672,0.10995175364871049
Bermuda,Brazil,0.0008745833160714644,0.029573354832880636
Bermuda,Chile,0.0007566864889875844,0.027507935018601166
Bermuda,China,0.00022225232775532444,0.014908129586079014
Bermuda,Cyprus,3.2288439688703096e-07,0.0005682291763778334
Bermuda,Czechia,0.0,0.0
Bermuda,Denmark,0.0,0.0
Bermuda,Finland,0.0,0.0
Bermuda,France,0.0,0.0
Bermuda,Germany,0.002004007032820116,0.04476613712193756
Bermuda,"Hong Kong, China",0.0016404968378861153,0.04050304726667014
Bermuda,Hungary,6.6386837577168236e-06,0.0025765643321517947
Bermuda,India,0.0,0.0
Bermuda,Ireland,0.0020495087092404288,0.045271499966760866
Bermuda,Italy,0.0,0.0
Bermuda,Japan,0.0001828373176859668,0.013521735010196243
Bermuda,Luxembourg,0.0006457687937740618,0.025411981303591066
Bermuda,Malaysia,0.00016103560232065046,0.012689980390869422
Bermuda,Mexico,0.0,0.0
Bermuda,Netherlands,0.0,0.0
Bermuda,Norway,0.0,0.0
Bermuda,Poland,0.0,0.0
Bermuda,Republic of Korea,0.0,0.0
Bermuda,Russian Federation,0.00493585240274844,0.07025562185867007
Bermuda,Saudi Arabia,0.0,0.0
Bermuda,Spain,0.0,0.0
Bermuda,Sweden,0.0,0.0
Bermuda,Switzerland,0.0,0.0
Bermuda,Taiwan Province of China,0.0001250660188396758,0.01118329195003313
Bermuda,Türkiye,0.0,0.0
Bermuda,United Kingdom,0.0,0.0
Bermuda,United States,0.0,0.0
Brazil,British Virgin Islands,0.0001890099737834278,0.013748089823078251
Brazil,Canada,0.0003919572098602755,0.01979790922951905
Brazil,Cayman Islands,0.0009041865810016535,0.030069695392565144
Brazil,Chile,0.0004752712639908589,0.021800717052217776
Brazil,China,3.299460390449018e-05,0.005744092957507755
Brazil,Cyprus,2.9304270791621268e-06,0.0017118490234720254
Brazil,Czechia,0.0,0.0
Brazil,Denmark,6.660374528555565e-05,0.008161111767740694
Brazil,Finland,6.204025231424556e-05,0.007876563483794539
Brazil,France,0.0006592493347852284,0.025675851198844964
